Noise_HU,Uniformity_HU,Scaling_V_mm,HU_Precision,RUL_Tube,RUL_Gantry,RUL_Table,RUL_Generator
16.4901,1.967,326.1844,0.6165,1065,1815,1733,2546
14.5852,1.1693,328.2792,0.459,1089,1825,1787,2555
16.9431,1.0091,329.1728,0.3666,1065,1825,1807,2555
19.5691,1.498,333.7754,1.1652,1029,1825,1721,2533
14.2975,1.3979,331.1131,0.9144,1087,1825,1796,2555
14.2976,1.2281,327.329,1.1518,1089,1825,1752,2555
19.7376,1.9178,330.9721,1.2762,1027,1809,1800,2521
17.3023,2.0732,326.9054,1.1062,1047,1798,1753,2523
13.5916,1.553,332.1654,1.2631,1095,1819,1772,2555
16.6277,2.3865,329.0578,0.9722,1060,1787,1807,2523
13.6097,0.815,329.8127,0.5252,1095,1825,1822,2555
13.6028,1.3838,332.6516,1.4231,1090,1825,1752,2555
15.7259,1.0699,327.4257,0.7644,1077,1825,1748,2555
9.2602,0.3801,327.2058,0.6258,1095,1825,1756,2555
9.8252,1.4504,328.8328,0.9288,1095,1821,1795,2555
13.3131,1.427,332.0768,0.6349,1095,1825,1768,2555
11.9615,2.4081,326.9613,0.833,1095,1798,1741,2546
15.9427,1.8785,324.3357,1.1376,1069,1809,1680,2549
12.2759,0.8855,329.0977,1.1393,1095,1825,1801,2555
10.7631,2.6125,331.1035,0.6409,1095,1784,1801,2555
19.3969,2.2326,332.4005,0.8049,1040,1801,1766,2516
14.3227,1.8493,329.0737,1.4297,1082,1803,1810,2552
15.2026,1.3641,329.1771,1.1986,1087,1825,1799,2547
10.7258,0.9243,332.3078,1.83,1095,1825,1772,2555
13.3669,1.2767,326.2605,1.4721,1088,1825,1732,2555
15.3328,2.1532,329.223,1.4577,1070,1795,1809,2540
11.547,2.6308,330.3808,0.4449,1095,1785,1813,2547
16.1271,2.4259,330.8984,1.3055,1057,1786,1808,2526
13.1981,1.2067,328.9804,0.9788,1089,1825,1801,2555
14.1249,0.8282,330.0689,0.7796,1089,1825,1820,2555
13.1949,1.5845,325.0233,1.0672,1089,1825,1701,2555
20.5568,0.4389,328.6835,1.3781,1017,1825,1791,2546
14.9595,1.6939,330.907,1.2003,1080,1818,1805,2549
11.8269,1.4114,328.0354,0.6486,1095,1825,1770,2555
17.4676,1.2204,330.118,1.297,1044,1825,1822,2540
11.3375,0.5432,330.8937,0.745,1095,1825,1805,2555
15.6266,1.8082,329.3149,1.0867,1077,1811,1808,2551
9.121,1.1804,330.3409,0.8787,1095,1825,1823,2555
11.0154,0.798,328.0745,0.9125,1095,1825,1781,2555
